ID,ScriptName,CityName,LocozationName,Culture,OwnerClan,IsCity
string,string,string,string,string,string,int
编号,剧本中文名,据点名,本地化名,文化,所属家族,是否城市
castle_AMA1,国府尾城,国府尾城,{=R6gnCH7g}Kono Castle,sanyo,Faction.clan_amago_1,1
town_CHU1,栉崎城,栉崎城,{=UvTpCUpH}Kushizaki,sanyo,Faction.clan_naito_1,1
town_CHU2,津和野城,津和野城,{=kO0l01wy}Sanbonmatsu,sanyo,Faction.clan_yoshimi_1,1
town_CHU3,吉田郡山城,吉田郡山城,{=NSAkQv1M}Yoshida-Koriyama,sanyo,Faction.clan_mori_1,1
town_CHU4,石见城,石见城,{=ihU3yZM0}Iwami,sanyo,Faction.clan_kikkawa_1,1
town_CHU5,月山富田城,月山富田城,{=5CN8ewVp}Gassan-Toda,sanyo,Faction.clan_amano_1,1
town_CHU6,冈山城,冈山城,{=qti2YofG}Okayama,sanyo,Faction.clan_ukita_1,1
castle_CHU1,荒泷山城,荒泷山城,{=sZfJiRtF}Aratakiyama Castle,sanyo,Faction.clan_naito_1,1
castle_CHU2,高岭城,高岭城,{=ggBeWjpi}Kounomine Castle,sanyo,Faction.clan_mori_1,1
castle_CHU3,下濑山城,下濑山城,{=vsTEVmuj}Shimoseyama Castle,sanyo,Faction.clan_yoshimi_1,1
castle_CHU4,周防高森城,周防高森城,{=CKaQktOo}Mitsuodake Castle,sanyo,Faction.clan_mori_1,1
castle_CHU5,樱尾城,樱尾城,{=xkmklOPf}Sakurao Castle,sanyo,Faction.clan_mori_1,1
castle_CHU6,火之山城,火之山城,{=9iUfpjzA}Hinoyama Castle,sanyo,Faction.clan_kikkawa_1,1
castle_CHU7,能美城,能美城,{=rQfnY5ul}Noumi Castle,sanyo,Faction.clan_kobayakawa_1,1
castle_CHU8,松尾城,松尾城,{=cw2phJPG}Matsuo Castle,sanyo,Faction.clan_kobayakawa_1,1
castle_CHU9,三泽城,三泽城,{=MGzfCArb}Mizawa Castle,sanyo,Faction.clan_misawa_1,1
castle_CHU10,来岛城,来岛城,{=H4uQyBi6}Kurushima Castle,sanyo,Faction.clan_murakami_1,1
castle_CHU11,青木城,青木城,{=D2EylgG7}Aoki Castle,sanyo,Faction.clan_murakami_1,1
castle_CHU12,新高山城,新高山城,{=nag3Cuo5}Niitakayama Castle,sanyo,Faction.clan_kobayakawa_1,1
castle_CHU13,幸山城,幸山城,{=RYsEuRur}Kouzan Castle,sanyo,Faction.clan_kobayakawa_1,1
castle_CHU14,萩城,萩城,{=p6Qi9gzt}Hogi Castle,sanyo,Faction.clan_akashi_1,1
castle_CHU15,天神山城,天神山城,{=aWGi78Ll}Tenjinyama Castle,sanyo,Faction.clan_uragami_1,1
castle_CHU16,羽衣石城,羽衣石城,{=6ccxu05w}Ueshi Castle,sanyo,Faction.clan_nanjo_1,1
town_CHUB1,一乘谷城,一乘谷城,{=VqVNevKA}Ichijodani,hokuriku,Faction.clan_asakura_1,1
town_CHUB2,尾山御坊,尾山御坊,{=6PgvlbUT}Oyama,hokuriku,Faction.clan_shimotsuma_1,1
town_CHUB3,七尾城,七尾城,{=WYXGfvnF}Nanao,hokuriku,Faction.clan_notohatakeyama_1,1
town_CHUB4,春日山城,春日山城,{=O2PYgcG1}Kasugayama,hokuriku,Faction.clan_uesugi_1,1
town_CHUB5,新发田城,新发田城,{=CK6roQ1s}Niigata,hokuriku,Faction.clan_shibata_2,1
town_CHUB6,深志城,深志城,{=vwKTR3B3}Fukashi,tosan,Faction.clan_baba_1,1
town_CHUB7,甲府城,甲府城,{=za4xFjbt}Kofu,tosan,Faction.clan_takeda_1,1
town_CHUB8,骏府城,骏府城,{=D5Jcm1JC}Sunpu,tokai,Faction.clan_imagawa_1,1
town_CHUB9,滨松城,滨松城,{=o7IPA6R2}Hamamatsu,tokai,Faction.clan_tokugawa_1,1
town_CHUB10,冈崎城,冈崎城,{=CrOG8PLd}Okazaki,tokai,Faction.clan_tokugawa_1,1
town_CHUB11,清须城,清须城,{=7o6576n8}Kiyosu,tosan,Faction.clan_oda_1,1
town_CHUB12,樱洞城,樱洞城,{=lXdj1TtH}Sakurabora,tosan,Faction.clan_anekouji_1,1
town_CHUB13,岐阜城,岐阜城,{=2TMu4lC2}Gifu,tosan,Faction.clan_oda_1,1
castle_CHUB1,天筒山城,天筒山城,{=HTo81wy6}Tezutsuyama Castle,hokuriku,Faction.clan_asakura_1,1
castle_CHUB2,越府城,越府城,{=mpqw8uFw}Etsufu Castle,hokuriku,Faction.clan_yamazaki_1,1
castle_CHUB3,沟江城,沟江城,{=BznGdbFo}Mizoe Castle,hokuriku,Faction.clan_mizoe_1,1
castle_CHUB4,大圣寺城,大圣寺城,{=Y7mNSs2D}Daishoji Castle,hokuriku,Faction.clan_shichiri_1,1
castle_CHUB5,增山城,增山城,{=MXbySYjt}Masuyama Castle,hokuriku,Faction.clan_jinbo_1,1
castle_CHUB6,穴水城,穴水城,{=p9IiDYf9}Anamizu Castle,hokuriku,Faction.clan_cho_1,1
castle_CHUB7,根知城,根知城,{=4atk7P2g}Nechi Castle,hokuriku,Faction.clan_murakami_2,1
castle_CHUB8,猿毛城,猿毛城,{=OZD9byGd}Saruge Castle,hokuriku,Faction.clan_kakizaki_1,1
castle_CHUB9,与板城,与板城,{=fhMckOAE}Yoita Castle,hokuriku,Faction.clan_naoe_1,1
castle_CHUB10,狮子城,狮子城,{=c149C2cR}Shishiga Castle,hokuriku,Faction.clan_honma_1,1
castle_CHUB11,平林城,平林城,{=HwZEw9mI}Hirabayashi Castle,hokuriku,Faction.clan_irobe_1,1
castle_CHUB12,本庄城,本庄城,{=BSK7ThAp}Honjyo Castle,hokuriku,Faction.clan_honjo_1,1
castle_CHUB13,栃尾城,栃尾城,{=NudqZujm}Tochio Castle,hokuriku,Faction.clan_honjo_1,1
castle_CHUB14,坂户城,坂户城,{=6MHOv64n}Sakato Castle,hokuriku,Faction.clan_uesugi_1,1
castle_CHUB15,海津城,海津城,{=JDqrBEiT}Kaizu Castle,tosan,Faction.clan_kasuga_1,1
castle_CHUB16,上田城,上田城,{=cRX7KAze}Ueda Castle,tosan,Faction.clan_sanada_1,1
castle_CHUB17,小诸城,小诸城,{=Hd7GiElO}Komoro Castle,tosan,Faction.clan_kasuga_1,1
castle_CHUB18,岩殿城,岩殿城,{=W35XhvjQ}Iwadonoyama Castle,tosan,Faction.clan_oyamada_1,1
castle_CHUB19,山中城,山中城,{=ZlC6XmVV}Yamanaka Castle,tokai,Faction.clan_hojo_1,1
castle_CHUB20,伊豆长滨城,伊豆长滨城,{=tJhgPPS6}Nagahama Castle,tokai,Faction.clan_hojo_1,1
castle_CHUB21,下田城,下田城,{=TbEP7yGe}Shimoda Castle,tokai,Faction.clan_hojo_1,1
castle_CHUB22,大宫城,大宫城,{=VqLXxRhc}Omiya Castle,tokai,Faction.clan_fuji_1,1
castle_CHUB23,挂川城,挂川城,{=gJxWqKpJ}Kakegawa Castle,tokai,Faction.clan_asahina_1,1
castle_CHUB24,井伊谷城,井伊谷城,{=pP3Z8ZKy}Iinoya Castle,tokai,Faction.clan_ii_1,1
castle_CHUB25,吉田城,吉田城,{=2chHj54l}Yoshida Castle,tokai,Faction.clan_sakai_1,1
castle_CHUB26,大垣城,大垣城,{=OzxYpqps}Ogaki Castle,tosan,Faction.clan_oda_1,1
castle_CHUB28,成愿寺城,成愿寺城,{=d1uSH7Lb}Joganji Castle,hokuriku,Faction.clan_maeba_1,1
castle_CHUB29,归云城,归云城,{=bMmdlGU7}Kaerikumo Castle,tosan,Faction.clan_uchigashima_1,1
castle_CHUB30,锅山城,锅山城,{=yyGbsWow}Nabeyama Castle,tosan,Faction.clan_miki_1,1
castle_CHUB31,小鹰利城,小鹰利城,{=3iExDKs3}Kotakari Castle,tosan,Faction.clan_miki_1,1
castle_CHUB32,森城,森城,{=NY1GGm2P}Mori Castle,tosan,Faction.clan_nishina_1,1
castle_CHUB33,木曾福岛城,木曾福岛城,{=JXcJCRXa}Kiso-Fukushima Castle,tosan,Faction.clan_kiso_1,1
castle_CHUB34,高远城,高远城,{=xsrz8R6S}Takato Castle,tosan,Faction.clan_takeda_1,1
castle_CHUB35,能美城,能美城,{=rQfnY5ul}Noken Castle,tosan,Faction.clan_anayama_1,1
town_KA1,小田原城,小田原城,{=6JVWOV78}Odawara,kanto,Faction.clan_hojo_1,1
town_KA2,江户城,江户城,{=0V7RNUk1}Edo,kanto,Faction.clan_toyama_1,1
town_KA3,太田城,太田城,{=aTuhwpl9}Ota,kanto,Faction.clan_satake_1,1
town_KA4,宇都宫,宇都宫,{=9iMMapjE}Utsunomiya,kanto,Faction.clan_utsunomiya_1,1
town_KA5,箕轮城,箕轮城,{=g5NTSS2Y}Minowa,kanto,Faction.clan_sanada_1,1
castle_KA1,三崎城,三崎城,{=qmGxdT6U}Misaki Castle,kanto,Faction.clan_hojo_1,1
castle_KA2,小机城,小机城,{=mQQksGbP}Kozukue Castle,kanto,Faction.clan_hojo_1,1
castle_KA3,本佐仓城,本佐仓城,{=JkjaieKD}Motosakura Castle,kanto,Faction.clan_chiba_1,1
castle_KA4,土气城,土气城,{=MKOOPTCF}Toke Castle,kanto,Faction.clan_sakai_2,1
castle_KA5,椎津城,椎津城,{=CfzXQacm}Shiizu Castle,kanto,Faction.clan_satomi_1,1
castle_KA6,佐贯城,佐贯城,{=fUMpuOOb}Sanuki Castle,kanto,Faction.clan_satomi_1,1
castle_KA7,冈本城,冈本城,{=Ij0Ax0W7}Okamoto Castle,kanto,Faction.clan_masaki_1,1
castle_KA8,大多喜城,大多喜城,{=LWEAx25N}Otaki Castle,kanto,Faction.clan_masaki_1,1
castle_KA9,久留里城,久留里城,{=wP9NMb9t}Kururi Castle,kanto,Faction.clan_satomi_1,1
castle_KA10,饭沼城,饭沼城,{=zSObBDHa}Iinuma Castle,kanto,Faction.clan_chiba_1,1
castle_KA11,府中城,府中城,{=kePZsN6S}Fuchu Castle,kanto,Faction.clan_daijo_1,1
castle_KA12,水户城,水户城,{=5GFPjyZy}Mito Castle,kanto,Faction.clan_edo_1,1
castle_KA13,乌山城,乌山城,{=QR0ARLZq}Karasuyama Castle,kanto,Faction.clan_nasu_1,1
castle_KA14,沼田城,沼田城,{=r6clYwLT}Numata Castle,kanto,Faction.clan_uesugi_1,1
castle_KA15,国峰城,国峰城,{=1BrRu6lB}Kunimine Castle,kanto,Faction.clan_obata_1,1
castle_KA16,忍城,忍城,{=PWixu1jO}Oshi Castle,kanto,Faction.clan_narita_1,1
castle_KA17,川越城,川越城,{=4PWgvY7u}Kawagoe Castle,kanto,Faction.clan_didoji_1,1
castle_KA18,金山城,金山城,{=x0qpsNZw}Kanayama Castle,kanto,Faction.clan_yura_1,1
castle_KA19,唐泽山城,唐泽山城,{=fVwXqwlO}Karasawayama Castle,kanto,Faction.clan_sano_1,1
